Source Folder ID	File Name	Mime Type	File ID	Web View Link	Direct Download Link	Created	Last Updated	Size (Bytes)	Width (px)	Height (px)	Orientation
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Signed Sealed Delivered .mov	video/quicktime	12FKK3ImL0TBgeTMmmT2w2DF7K9E9pYti	https://drive.google.com/file/d/12FKK3ImL0TBgeTMmmT2w2DF7K9E9pYti/view	https://drive.google.com/uc?export=download&id=12FKK3ImL0TBgeTMmmT2w2DF7K9E9pYti	2025-11-17T19:30:41.899Z	2025-11-17T20:05:42.235Z	94213640	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	California Love.mov	video/quicktime	1oYy8ksYFljhnpmQxV-F_ail1S2ee6ZFV	https://drive.google.com/file/d/1oYy8ksYFljhnpmQxV-F_ail1S2ee6ZFV/view	https://drive.google.com/uc?export=download&id=1oYy8ksYFljhnpmQxV-F_ail1S2ee6ZFV	2025-11-17T19:54:12.068Z	2025-11-17T20:05:21.611Z	195071442	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Rockin Around The Xmas Tree.MOV	video/quicktime	1n700qbK5rGYkdYCy4faDskVIabu0Fb2S	https://drive.google.com/file/d/1n700qbK5rGYkdYCy4faDskVIabu0Fb2S/view	https://drive.google.com/uc?export=download&id=1n700qbK5rGYkdYCy4faDskVIabu0Fb2S	2025-11-17T19:22:05.552Z	2025-11-17T20:04:49.811Z	113961114	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	5e53b14a3560475687f1357f0b62f0a9.MOV	video/quicktime	1utjZqdpeLHPXNc494FSpj8ang1OUSYSy	https://drive.google.com/file/d/1utjZqdpeLHPXNc494FSpj8ang1OUSYSy/view	https://drive.google.com/uc?export=download&id=1utjZqdpeLHPXNc494FSpj8ang1OUSYSy	2025-11-17T20:04:04.652Z	2025-11-17T20:04:04.652Z	237117286	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Give It To Me Baby.mov	video/quicktime	1laseZ8SJ_b1R2oyz5oW7vTxghLEQhlHX	https://drive.google.com/file/d/1laseZ8SJ_b1R2oyz5oW7vTxghLEQhlHX/view	https://drive.google.com/uc?export=download&id=1laseZ8SJ_b1R2oyz5oW7vTxghLEQhlHX	2025-11-17T19:19:13.622Z	2025-11-17T20:00:45.446Z	114422006	1530	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Shout.MOV	video/quicktime	1abCQQgVAwzVyPZy6GhSQYgnyTqfT3N2Z	https://drive.google.com/file/d/1abCQQgVAwzVyPZy6GhSQYgnyTqfT3N2Z/view	https://drive.google.com/uc?export=download&id=1abCQQgVAwzVyPZy6GhSQYgnyTqfT3N2Z	2025-11-17T19:27:39.750Z	2025-11-17T20:00:11.193Z	117566144	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Guitar & Sax Battle .mov	video/quicktime	10uzqeWC7-jsd8D1j1b2kuxRYCc6dXcRl	https://drive.google.com/file/d/10uzqeWC7-jsd8D1j1b2kuxRYCc6dXcRl/view	https://drive.google.com/uc?export=download&id=10uzqeWC7-jsd8D1j1b2kuxRYCc6dXcRl	2025-11-17T19:37:39.181Z	2025-11-17T20:00:01.363Z	114988995	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Sax Solo.MOV	video/quicktime	1-xQs14-IeR9FGjPLtuVfKWuWzQBTWD2B	https://drive.google.com/file/d/1-xQs14-IeR9FGjPLtuVfKWuWzQBTWD2B/view	https://drive.google.com/uc?export=download&id=1-xQs14-IeR9FGjPLtuVfKWuWzQBTWD2B	2025-11-17T19:28:55.908Z	2025-11-17T19:59:43.837Z	80142473	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	James Brown.MOV	video/quicktime	1782iQcWXi9yFuo1r4ynpYphQwZuEKSyf	https://drive.google.com/file/d/1782iQcWXi9yFuo1r4ynpYphQwZuEKSyf/view	https://drive.google.com/uc?export=download&id=1782iQcWXi9yFuo1r4ynpYphQwZuEKSyf	2025-11-17T19:42:14.696Z	2025-11-17T19:59:28.477Z	168695141	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	4. Sax Solo.mov	video/quicktime	1ah4sDIgCV6rdnf8Z90dgRDgGvNF3EKUK	https://drive.google.com/file/d/1ah4sDIgCV6rdnf8Z90dgRDgGvNF3EKUK/view	https://drive.google.com/uc?export=download&id=1ah4sDIgCV6rdnf8Z90dgRDgGvNF3EKUK	2025-11-15T09:23:10.330Z	2025-11-17T19:58:42.831Z	148227136	1080	1920	Portrait
